,coords_first,coords_last,full_street,street_width,bike_lane,elevation_x,elevation_y,distance,elevation_diff,steep
0,"(40.67984161, -74.01984812)","(40.69244388, -74.00685151)",MARTHA'S VYD HIGHLANDS FERRY RTE,0,0,1.8633033600000002,1.7342857628160002,1780.9124479696204,-0.12901759718399997,7.244466022520654e-05
1,"(40.67986109, -74.01941948)","(40.67974306, -74.0195594)",IKEA WALL STREET FERRY RTE,0,0,1.8633033600000002,1.8633033600000002,17.668082964587942,0.0,0.0
2,"(40.6800266, -74.02039017)","(40.69157129, -74.00787292)",HIGHLANDS-MIDTOWN EAST FERRY RTE,0,0,1.8633033600000002,1.886265717936,1663.7469766149197,0.022962357935999878,1.3801592585141388e-05
3,"(40.68090045, -74.01794762)","(40.67986109, -74.01941948)",IKEA WALL STREET FERRY RTE,0,0,1.944837356952,1.8633033600000002,169.78186382678055,-0.08153399695199992,0.00048022795317634597
4,"(40.68273488, -74.02832662)","(40.69036924, -74.02471803)",RED HOOK-MIDTOWN EAST FERRY RTE,0,0,2.02884024,2.4094390165200004,902.7938925611076,0.3805987765200003,0.00042157881179312326
5,"(40.6846542, -74.02603762)","(40.68647729, -74.02411399)",GRESHAM RD,20,0,2.02884024,2.465649116952,259.9118634251483,0.436808876952,0.0016806038446867434
6,"(40.6846542, -74.02603762)","(40.6880708, -74.02425463)",CRAIG RD N,20,1,2.02884024,2.1743655582960004,409.03090436353096,0.14552531829600035,0.00035578074112136777
7,"(40.6846542, -74.02603762)","(40.68479145, -74.02191173)",CRAIG RD S,20,1,2.02884024,2.32571544,348.61982266724436,0.2968752000000001,0.0008515729189712939
8,"(40.68479145, -74.02191173)","(40.68540534, -74.02271062)",HALFMOON RD,20,0,2.32571544,2.935986,96.00983609837955,0.61027056,0.006356333734125603
9,"(40.68479145, -74.02191173)","(40.68513918, -74.02113737)",CRAIG RD S,15,1,2.32571544,2.35363512,75.96865058383965,0.02791967999999967,0.0003675158079738072
10,"(40.68479145, -74.02191173)","(40.6846542, -74.02603762)",CRAIG RD S,20,1,2.32571544,2.02884024,348.61982266724436,-0.2968752000000001,0.0008515729189712939
11,"(40.68513918, -74.02113737)","(40.68555028, -74.02023618)",CRAIG RD S,15,1,2.35363512,2.1931579169520004,88.77702373979275,-0.1604772030479995,0.0018076434226761355
12,"(40.68513918, -74.02113737)","(40.68590162, -74.0219706)",YEATON RD,24,0,2.35363512,2.561356316952,110.23066334543925,0.2077211969520003,0.001884422996721399
13,"(40.68513918, -74.02113737)","(40.68479145, -74.02191173)",CRAIG RD S,15,1,2.35363512,2.32571544,75.96865058383965,-0.02791967999999967,0.0003675158079738072
14,"(40.68540534, -74.02271062)","(40.68647729, -74.02411399)",HALFMOON RD,20,0,2.935986,2.465649116952,168.1451067133732,-0.47033688304800014,0.002797208269936484
15,"(40.68540534, -74.02271062)","(40.68479145, -74.02191173)",HALFMOON RD,20,0,2.935986,2.32571544,96.00983609837955,-0.61027056,0.006356333734125603
16,"(40.68540534, -74.02271062)","(40.68590162, -74.0219706)",ENRIGHT RD,20,0,2.935986,2.561356316952,83.39228333881799,-0.37462968304800004,0.004492378287879485
17,"(40.68545576, -74.03344298)","(40.68486581, -74.03457281)",PORT LIBERTE-WALL ST FERRY RTE,0,0,2.219506130448,2.219506130448,115.79730990277282,0.0,0.0
18,"(40.68545576, -74.03344298)","(40.68464226, -74.03391745)",BELFORD-PAULUS HOOK FERRY RTE,0,0,2.219506130448,2.219506130448,99.02011394549397,0.0,0.0
19,"(40.68555028, -74.02023618)","(40.68699001, -74.01704692)",CRAIG RD S,15,1,2.1931579169520004,2.5443484769520004,313.3087490457985,0.35119056000000004,0.001120908883232827
20,"(40.68555028, -74.02023618)","(40.68638961, -74.021242)",ICARUS RD,44,0,2.1931579169520004,2.792904790608,126.2481417173279,0.5997468736559997,0.004750540209921226
21,"(40.68555028, -74.02023618)","(40.68513918, -74.02113737)",CRAIG RD S,15,1,2.1931579169520004,2.35363512,88.77702373979275,0.1604772030479995,0.0018076434226761355
22,"(40.68590162, -74.0219706)","(40.68638961, -74.021242)",ENRIGHT RD,20,0,2.561356316952,2.792904790608,82.05848513426466,0.23154847365599984,0.0028217493081567208
23,"(40.68590162, -74.0219706)","(40.68540534, -74.02271062)",ENRIGHT RD,20,0,2.561356316952,2.935986,83.39228333881799,0.37462968304800004,0.004492378287879485
24,"(40.68593402, -74.032527)","(40.68445781, -74.03337675)",BELFORD-WEST MIDTOWN FERRY RTE,0,0,2.219506130448,2.219506130448,179.30407797513155,0.0,0.0
25,"(40.68593402, -74.032527)","(40.68545576, -74.03344298)",PORT LIBERTE-WALL ST FERRY RTE,0,0,2.219506130448,2.219506130448,93.87744644343024,0.0,0.0
26,"(40.68601553, -74.00842516)","(40.68696606, -74.00896854)",BK BATTERY TUNL,18,0,1.803768504216,1.803768504216,115.326297460934,0.0,0.0
27,"(40.68638961, -74.021242)","(40.68590162, -74.0219706)",ENRIGHT RD,20,0,2.792904790608,2.561356316952,82.05848513426466,-0.23154847365599984,0.0028217493081567208
28,"(40.68638961, -74.021242)","(40.68555028, -74.02023618)",ICARUS RD,44,0,2.792904790608,2.1931579169520004,126.2481417173279,-0.5997468736559997,0.004750540209921226
29,"(40.68638961, -74.021242)","(40.68803695, -74.01872218)",ENRIGHT RD,30,0,2.792904790608,3.388534133256,280.8388739031105,0.5956293426479999,0.002120893501565215
30,"(40.68647729, -74.02411399)","(40.6846542, -74.02603762)",GRESHAM RD,20,0,2.465649116952,2.02884024,259.9118634251483,-0.436808876952,0.0016806038446867434
